GO_Term,2017_count,2025_count,absolute_change,percentage_change
GO:0090729 (toxin activity),5840,7037,1197,20.496575342465754
GO:0099106 (ion channel regulator activity),0,778,778,inf
GO:0015459 (potassium channel regulator activity),0,633,633,inf
GO:0046872 (metal ion binding),562,611,49,8.718861209964412
GO:0047498 (calcium-dependent phospholipase A2 activity),3,526,523,17433.333333333336
GO:0030550 (acetylcholine receptor inhibitor activity),13,505,492,3784.6153846153848
GO:0047499 (calcium-independent phospholipase A2 activity),0,434,434,inf
GO:0005543 (phospholipid binding),0,425,425,inf
GO:0017080 (sodium channel regulator activity),3,415,412,13733.333333333334
GO:0004867 (serine-type endopeptidase inhibitor activity),223,314,91,40.80717488789238
GO:0005246 (calcium channel regulator activity),2,311,309,15450.0
GO:0016829 (lyase activity),0,220,220,inf
GO:0030414 (peptidase inhibitor activity),1,88,87,8700.0
GO:0030246 (carbohydrate binding),62,64,2,3.225806451612903
GO:0008083 (growth factor activity),58,64,6,10.344827586206897
