Entry,Organism (ID),Protein families,Length,Fragment,Source tissues,Toxic dose,PTM Keywords,PTM Summary,Signal peptide,Propeptide,Gene Ontology (GO),Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (molecular function),Protein existence,ToxProt definition,Mature_length,Active_length,Scientific_Name,Phylum,Class,Order,Family,Genus,Species,Habitat,Habitat_Detailed
P84001,280265,,50,fragment,Venom,,,,,,,,,,,both,50,50,Ancylometes sp. MR-2004,Arthropoda,Arachnida,Araneae,Ctenidae,Ancylometes,Ancylometes sp. MR-2004,terrestrial,terrestrial
P84027,280265,Omega-agatoxin family,37,fragment,Venom,,,,,,,,,,,both,37,37,Ancylometes sp. MR-2004,Arthropoda,Arachnida,Araneae,Ctenidae,Ancylometes,Ancylometes sp. MR-2004,terrestrial,terrestrial
P84028,280265,Spider toxin Tx2 family,47,,Venom,,,,,,,,,,,both,47,47,Ancylometes sp. MR-2004,Arthropoda,Arachnida,Araneae,Ctenidae,Ancylometes,Ancylometes sp. MR-2004,terrestrial,terrestrial
Q92035,8613,Type-B carboxylesterase/lipase family,606,,Liver; Muscle; Venom; Venom gland,,Glycoprotein,Disulfide bond:4; Glycosylation:4,Yes,,,,,,,venom_tissue,578,578,Bungarus fasciatus,Chordata,Lepidosauria,Squamata,Elapidae,Bungarus,Bungarus fasciatus,terrestrial,terrestrial
P58608,184613,,35,,Saliva,,,Disulfide bond:3,,,,,,,,both,35,35,Agriosphodrus dohrni,Arthropoda,Insecta,Hemiptera,Reduviidae,Agriosphodrus,Agriosphodrus dohrni,terrestrial,terrestrial
P15228,34649,Alpha/beta-scorpion toxin family,85,,Venom; Venom gland,,Amidation,Disulfide bond:4; Amidation:1,Yes,,GO:0009405 (pathogenesis); GO:0005576 (extracellular region); GO:0019871 (sodium channel inhibitor activity),GO:0009405 (pathogenesis),GO:0005576 (extracellular region),GO:0019871 (sodium channel inhibitor activity),,both,64,61,Olivierus martensii,Arthropoda,Arachnida,Scorpiones,Buthidae,Olivierus,Olivierus martensii,terrestrial,terrestrial
Q86M31,34649,Alpha/beta-scorpion toxin family,85,,Venom,,Amidation,Disulfide bond:4; Amidation:1,Yes,,,,,,,both,64,61,Olivierus martensii,Arthropoda,Arachnida,Scorpiones,Buthidae,Olivierus,Olivierus martensii,terrestrial,terrestrial
P69943,48400,Sea anemone sodium channel inhibitory toxin family,47,,Cnidoblast,LD(50) is 2.2 ug/kg to crabs.,,Disulfide bond:3,,,,,,,,kw_toxin,47,47,Anemonia erythraea,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anemonia,Anemonia erythraea,marine,marine
P69944,48400,,59,,Cnidoblast,LD(50) is 0.53 ug/kg to crabs.,,,,,,,,,,kw_toxin,59,59,Anemonia erythraea,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anemonia,Anemonia erythraea,marine,marine
P69945,48400,,59,,Cnidoblast,LD(50) is 0.28 ug/kg to crabs.,,,,,,,,,,kw_toxin,59,59,Anemonia erythraea,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anemonia,Anemonia erythraea,marine,marine
P61408,29015,Spider potassium channel inhibitory toxin family,29,,Venom,,Amidation,Disulfide bond:3; Amidation:1,,,,,,,,both,29,29,Grammostola rosea,Arthropoda,Arachnida,Araneae,Theraphosidae,Grammostola,Grammostola rosea,terrestrial,terrestrial
P61409,29015,Spider potassium channel inhibitory toxin family,31,,Venom,,,Disulfide bond:3,,,,,,,,both,31,31,Grammostola rosea,Arthropoda,Arachnida,Araneae,Theraphosidae,Grammostola,Grammostola rosea,terrestrial,terrestrial
P01500,7460,,46,,Venom; Venom gland,,Amidation,Disulfide bond:2; Amidation:1,Yes,Yes,,,,,,both,27,18,Apis mellifera,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,terrestrial,terrestrial
P61541,6110,Sea anemone BDS toxin family,42,,,,,Disulfide bond:3,,,,,,,,kw_toxin,42,42,Anthopleura elegantissima,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,Anthopleura elegantissima,marine,marine
P61542,6110,Sea anemone BDS toxin family,42,,,,,Disulfide bond:3,,,,,,,,kw_toxin,42,42,Anthopleura elegantissima,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,Anthopleura elegantissima,marine,marine
P83451,58720,Asparaginase 2 family,40,,Venom,,Glycoprotein,,,,,,,,,venom_tissue,40,40,Asobara tabida,Arthropoda,Insecta,Hymenoptera,Braconidae,Asobara,Asobara tabida,terrestrial,terrestrial
P83512,8722,Peptidase M12B family,203,,Venom,,Pyrrolidone carboxylic acid,Disulfide bond:3; Pyrrolidone carboxylic acid:1,,,,,,,,both,203,203,Bothrops asper,Chordata,Lepidosauria,Squamata,Viperidae,Bothrops,Bothrops asper,terrestrial,terrestrial
P84035,8722,Peptidase M12B family,63,,Venom gland,,,,,,,,,,,both,63,63,Bothrops asper,Chordata,Lepidosauria,Squamata,Viperidae,Bothrops,Bothrops asper,terrestrial,terrestrial
