identifier,Protein families,Phylum,has_signal_peptide
P01387,Snake three-finger toxin family,Chordata,no
A8HDK7,Snake three-finger toxin family,Chordata,yes
A8HDK9,Snake three-finger toxin family,Chordata,yes
A8HDK6,Snake three-finger toxin family,Chordata,yes
A8HDK4,Snake three-finger toxin family,Chordata,yes
F8J2F2,Snake three-finger toxin family,Chordata,yes
P34074,Snake three-finger toxin family,Chordata,no
Q2VBP5,Snake three-finger toxin family,Chordata,yes
Q2VBP4,Snake three-finger toxin family,Chordata,yes
B2BRQ6,Snake three-finger toxin family,Chordata,yes
C5ILC5,Snake three-finger toxin family,Chordata,yes
P0DKW9,Snake three-finger toxin family,Chordata,no
A8N285,Snake three-finger toxin family,Chordata,yes
A8S6B0,Snake three-finger toxin family,Chordata,yes
A6MFK5,Snake three-finger toxin family,Chordata,yes
P01397,Snake three-finger toxin family,Chordata,no
P01395,Snake three-finger toxin family,Chordata,no
A3FM53,Snake three-finger toxin family,Chordata,yes
P01381,Snake three-finger toxin family,Chordata,no
P85140,Snake three-finger toxin family,Chordata,no
A7X4Q3,Snake three-finger toxin family,Chordata,yes
A7X4R0,Snake three-finger toxin family,Chordata,yes
Q9W7J5,Snake three-finger toxin family,Chordata,yes
Q2VBP8,Snake three-finger toxin family,Chordata,yes
Q2VBP6,Snake three-finger toxin family,Chordata,yes
P15816,Snake three-finger toxin family,Chordata,yes
P15817,Snake three-finger toxin family,Chordata,yes
O12961,Snake three-finger toxin family,Chordata,yes
O12962,Snake three-finger toxin family,Chordata,yes
Q9W729,Snake three-finger toxin family,Chordata,yes
Q8AY56,Snake three-finger toxin family,Chordata,yes
Q8AY55,Snake three-finger toxin family,Chordata,yes
P01398,Snake three-finger toxin family,Chordata,yes
P15815,Snake three-finger toxin family,Chordata,no
Q8UW27,Snake three-finger toxin family,Chordata,yes
E2ITZ3,Snake three-finger toxin family,Chordata,yes
P01412,Snake three-finger toxin family,Chordata,yes
Q69CJ8,Snake three-finger toxin family,Chordata,yes
P01434,Snake three-finger toxin family,Chordata,no
P32879,Snake three-finger toxin family,Chordata,no
A8S6A4,Snake three-finger toxin family,Chordata,yes
P10808,Snake three-finger toxin family,Chordata,no
A8HDJ7,Snake three-finger toxin family,Chordata,yes
A6MFK6,Snake three-finger toxin family,Chordata,yes
P01417,Snake three-finger toxin family,Chordata,no
P01416,Snake three-finger toxin family,Chordata,no
P01418,Snake three-finger toxin family,Chordata,no
P01425,Snake three-finger toxin family,Chordata,no
A8HDJ9,Snake three-finger toxin family,Chordata,yes
P25494,Snake three-finger toxin family,Chordata,no
P68416,Snake three-finger toxin family,Chordata,yes
P01437,Snake three-finger toxin family,Chordata,no
Q2VBN4,Snake three-finger toxin family,Chordata,yes
Q2VBN7,Snake three-finger toxin family,Chordata,yes
Q53B46,Snake three-finger toxin family,Chordata,yes
Q69CK0,Snake three-finger toxin family,Chordata,yes
Q2VBN8,Snake three-finger toxin family,Chordata,yes
P0C1Y9,Snake three-finger toxin family,Chordata,no
P0C1Z0,Snake three-finger toxin family,Chordata,no
P25681,Snake three-finger toxin family,Chordata,no
P60234,Snake three-finger toxin family,Chordata,no
P85092,Snake three-finger toxin family,Chordata,no
P86419,Snake three-finger toxin family,Chordata,no
Q53B49,Snake three-finger toxin family,Chordata,yes
P25518,Snake three-finger toxin family,Chordata,no
P81030,Snake three-finger toxin family,Chordata,no
P18328,Snake three-finger toxin family,Chordata,yes
Q5YD75,Arthropod phospholipase D family,Arthropoda,no
Q7Z1Y7,Arthropod phospholipase D family,Arthropoda,yes
A4USB4,Arthropod phospholipase D family,Arthropoda,yes
B3EWH2,,Chordata,no
P0DUV0,,Arthropoda,no
P85160,Other,Chordata,no
P0DKZ3,Other,Chordata,no
P0DKZ8,Other,Chordata,no
P0DKZ4,Other,Chordata,no
P30426,Other,Chordata,no
P0C7S4,Other,Chordata,no
P01022,Other,Chordata,no
P0DJK2,Other,Chordata,no
P0DJK5,Other,Chordata,no
P0DJK3,Other,Chordata,no
P0DJK7,Other,Chordata,no
P0DKZ9,Other,Chordata,no
P85161,Other,Chordata,no
P0DJK4,Other,Chordata,no
P0DL00,Other,Chordata,no
P0DL01,Other,Chordata,no
P0DJK6,Other,Chordata,no
P0DL04,Other,Chordata,no
P0DL05,Other,Chordata,no
P83659,Other,Arthropoda,no
P0DL32,Other,Arthropoda,no
Q8I6R2,Other,Mollusca,yes
P0C847,Other,Mollusca,yes
P0C848,Other,Mollusca,yes
P0C846,Other,Mollusca,yes
P0C845,Other,Mollusca,yes
P0C850,Other,Mollusca,yes
P56639,Other,Mollusca,yes
P0DL39,Other,Mollusca,no
P69657,Other,Mollusca,yes
P56973,Other,Mollusca,yes
D4HPD6,Other,Mollusca,yes
P56638,Other,Mollusca,yes
P50982,Other,Mollusca,yes
X1WB75,Other,Mollusca,no
P0DL68,Other,Mollusca,no
P0C1W1,Other,Mollusca,no
P0DQQ6,Other,Mollusca,no
P0DQY0,Other,Mollusca,no
P0C1R7,Other,Mollusca,no
P50984,Other,Mollusca,no
P0DQX0,Other,Mollusca,yes
P0DQX1,Other,Mollusca,yes
A0A125S9D8,Other,Mollusca,yes
F6JWU7,Other,Mollusca,yes
P58928,,Mollusca,no
P86399,Other,Arthropoda,yes
A0A125S9F0,Other,Mollusca,yes
P0DM15,,Mollusca,no
A6YR20,Conotoxin O1 superfamily,Mollusca,yes
A6YR21,Conotoxin O1 superfamily,Mollusca,yes
A6YR23,,Mollusca,no
A6YR24,,Mollusca,no
A6YR26,,Mollusca,no
A6YR28,,Mollusca,no
A6YR29,,Mollusca,no
A6YR30,,Mollusca,no
A6YR31,,Mollusca,no
A6YR33,,Mollusca,no
A6YR34,,Mollusca,no
A6YR36,,Mollusca,no
A6YR37,,Mollusca,no
A6YR40,Conotoxin O1 superfamily,Mollusca,yes
A6YR41,,Mollusca,no
A0A1P8NVR5,Other,Mollusca,yes
Q9GU57,Other,Mollusca,yes
Q8I6V7,Other,Mollusca,yes
P81727,Other,Mollusca,no
P84707,Other,Mollusca,yes
Q2XXP1,Other,Chordata,yes
Q7ZTA0,Other,Chordata,yes
A8S6B6,Other,Chordata,yes
D8VNS1,Other,Chordata,yes
F8S0Y4,Other,Chordata,yes
B1PZN6,Other,Mollusca,yes
P0CI23,Other,Mollusca,no
P58808,Other,Mollusca,yes
P58810,Other,Mollusca,no
Q9BPE9,Other,Mollusca,yes
P0CI22,Other,Mollusca,no
P58807,Other,Mollusca,no
A0A6B9KZ30,Other,Arthropoda,yes
Q45KX2,Other,Arthropoda,yes
P0DJB3,,Mollusca,no
P0DJB4,,Mollusca,no
P0DJB5,,Mollusca,no
B0L0Y6,,Mollusca,yes
P0DQU1,Other,Arthropoda,yes
D1MEI6,Other,Arthropoda,yes
P0CJ37,Other,Arthropoda,no
P0CJ36,Other,Arthropoda,no
P0C931,Other,Arthropoda,no
P85032,Other,Arthropoda,no
P81428,Peptidase S1 family,Chordata,yes
D8VNT0,Other,Chordata,yes
P0DUV2,Other,Arthropoda,no
