identifier,Protein families,Phylum,has_fragment,has_signal_peptide
A0A3G2FQK2,Venom Kunitz-type family,Cnidaria,yes,yes
F8J2B3,Snake three-finger toxin family,Chordata,no,yes
Q53B54,Snake three-finger toxin family,Chordata,no,no
P60615,Snake three-finger toxin family,Chordata,no,yes
P60616,Snake three-finger toxin family,Chordata,no,yes
P01385,Snake three-finger toxin family,Chordata,no,no
P25670,Snake three-finger toxin family,Chordata,no,no
B2BRQ5,Snake three-finger toxin family,Chordata,no,yes
A8S6A8,Snake three-finger toxin family,Chordata,no,yes
A1IVR8,Snake three-finger toxin family,Chordata,yes,yes
A6MFK4,Snake three-finger toxin family,Chordata,no,yes
P01393,Snake three-finger toxin family,Chordata,no,no
P01396,Snake three-finger toxin family,Chordata,no,no
P01394,Snake three-finger toxin family,Chordata,no,no
Q8UW29,Snake three-finger toxin family,Chordata,no,yes
P01380,Snake three-finger toxin family,Chordata,no,no
P0C8R6,Snake three-finger toxin family,Chordata,no,no
P01379,Snake three-finger toxin family,Chordata,no,yes
P01389,Snake three-finger toxin family,Chordata,no,no
P25674,Snake three-finger toxin family,Chordata,no,no
P01391,Snake three-finger toxin family,Chordata,no,no
P01383,Snake three-finger toxin family,Chordata,no,no
P25668,Snake three-finger toxin family,Chordata,no,no
P01390,Snake three-finger toxin family,Chordata,no,no
P01382,Snake three-finger toxin family,Chordata,no,no
P01384,Snake three-finger toxin family,Chordata,no,yes
P01387,Snake three-finger toxin family,Chordata,no,no
A8HDK7,Snake three-finger toxin family,Chordata,no,yes
A8HDK9,Snake three-finger toxin family,Chordata,no,yes
A8HDK6,Snake three-finger toxin family,Chordata,no,yes
A8HDK4,Snake three-finger toxin family,Chordata,no,yes
F8J2F2,Snake three-finger toxin family,Chordata,no,yes
P34074,Snake three-finger toxin family,Chordata,no,no
Q2VBP5,Snake three-finger toxin family,Chordata,no,yes
Q2VBP4,Snake three-finger toxin family,Chordata,no,yes
B2BRQ6,Snake three-finger toxin family,Chordata,no,yes
C5ILC5,Snake three-finger toxin family,Chordata,no,yes
P0DKW9,Snake three-finger toxin family,Chordata,no,no
A8N285,Snake three-finger toxin family,Chordata,no,yes
A8S6B0,Snake three-finger toxin family,Chordata,no,yes
A1IVR9,Snake three-finger toxin family,Chordata,yes,yes
A6MFK5,Snake three-finger toxin family,Chordata,no,yes
P01397,Snake three-finger toxin family,Chordata,no,no
P01395,Snake three-finger toxin family,Chordata,no,no
A3FM53,Snake three-finger toxin family,Chordata,no,yes
P01381,Snake three-finger toxin family,Chordata,no,no
P01388,Snake three-finger toxin family,Chordata,no,no
P25669,Snake three-finger toxin family,Chordata,no,no
P01386,Snake three-finger toxin family,Chordata,no,no
A8HDK8,Snake three-finger toxin family,Chordata,no,yes
F8J2E6,Snake three-finger toxin family,Chordata,no,yes
Q53B55,Snake three-finger toxin family,Chordata,no,yes
Q53B53,Snake three-finger toxin family,Chordata,yes,yes
Q53B59,Snake three-finger toxin family,Chordata,no,yes
Q2VBP3,Snake three-finger toxin family,Chordata,no,yes
A1IVR7,Snake three-finger toxin family,Chordata,yes,yes
P25667,Snake three-finger toxin family,Chordata,no,no
Q8UW28,Snake three-finger toxin family,Chordata,no,yes
P0DQQ1,Snake three-finger toxin family,Chordata,no,no
P25671,Snake three-finger toxin family,Chordata,no,no
P07526,Snake three-finger toxin family,Chordata,no,no
F8J2D7,Snake three-finger toxin family,Chordata,no,yes
F8J2E5,Snake three-finger toxin family,Chordata,no,yes
C0HJD7,Snake three-finger toxin family,Chordata,no,no
P0DQQ2,Snake three-finger toxin family,Chordata,no,no
P25672,Snake three-finger toxin family,Chordata,no,no
P80156,Snake three-finger toxin family,Chordata,no,no
Q53B58,Snake three-finger toxin family,Chordata,no,yes
Q53B57,Snake three-finger toxin family,Chordata,no,yes
Q53B56,Snake three-finger toxin family,Chordata,no,yes
P25673,Snake three-finger toxin family,Chordata,no,no
P80965,Snake three-finger toxin family,Chordata,no,no
P82662,Snake three-finger toxin family,Chordata,no,yes
F8J2E1,Snake three-finger toxin family,Chordata,no,yes
F8J2E2,Snake three-finger toxin family,Chordata,no,yes
C0HM09,Snake three-finger toxin family,Chordata,no,no
O42257,Snake three-finger toxin family,Chordata,no,yes
P86522,Snake three-finger toxin family,Chordata,yes,no
Q7T3J2,Snake three-finger toxin family,Chordata,no,yes
D2N116,Snake three-finger toxin family,Chordata,yes,yes
P0C8R7,Snake three-finger toxin family,Chordata,no,no
P0C8R8,Snake three-finger toxin family,Chordata,no,no
P13495,Snake three-finger toxin family,Chordata,no,no
P34073,Snake three-finger toxin family,Chordata,no,no
P14612,Snake three-finger toxin family,Chordata,no,yes
Q7T2I3,Snake three-finger toxin family,Chordata,yes,yes
P0CJ35,Snake three-finger toxin family,Chordata,yes,no
