identifier,Protein families,Fragment,Phylum,Habitat,Class,Order
P84001,,fragment,Arthropoda,terrestrial,Arachnida,Araneae
P84027,Other,fragment,Arthropoda,terrestrial,Arachnida,Araneae
Q7M3V1,,,Arthropoda,terrestrial,Insecta,Hymenoptera
F8J2B3,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q53B54,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P60615,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P60616,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01385,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P25670,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
B2BRQ5,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A8S6A8,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A1IVR8,Snake three-finger toxin family,fragment,Chordata,terrestrial,Lepidosauria,Squamata
A6MFK4,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01393,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01396,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01394,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q8UW29,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P01380,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P0C8R6,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P01379,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P01389,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P25674,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01391,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01383,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P25668,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01390,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
