identifier,Protein families,Phylum,has_signal_peptide
F8J2B3,Snake three-finger toxin family,Chordata,yes
Q53B54,Snake three-finger toxin family,Chordata,no
P60615,Snake three-finger toxin family,Chordata,yes
P60616,Snake three-finger toxin family,Chordata,yes
P01385,Snake three-finger toxin family,Chordata,no
P25670,Snake three-finger toxin family,Chordata,no
B2BRQ5,Snake three-finger toxin family,Chordata,yes
A8S6A8,Snake three-finger toxin family,Chordata,yes
A6MFK4,Snake three-finger toxin family,Chordata,yes
P01393,Snake three-finger toxin family,Chordata,no
P01396,Snake three-finger toxin family,Chordata,no
P01394,Snake three-finger toxin family,Chordata,no
Q8UW29,Snake three-finger toxin family,Chordata,yes
P01380,Snake three-finger toxin family,Chordata,no
P0C8R6,Snake three-finger toxin family,Chordata,no
P01379,Snake three-finger toxin family,Chordata,yes
P01389,Snake three-finger toxin family,Chordata,no
P25674,Snake three-finger toxin family,Chordata,no
P01391,Snake three-finger toxin family,Chordata,no
P01383,Snake three-finger toxin family,Chordata,no
P25668,Snake three-finger toxin family,Chordata,no
P01390,Snake three-finger toxin family,Chordata,no
P01382,Snake three-finger toxin family,Chordata,no
P01384,Snake three-finger toxin family,Chordata,yes
P01387,Snake three-finger toxin family,Chordata,no
A8HDK7,Snake three-finger toxin family,Chordata,yes
A8HDK9,Snake three-finger toxin family,Chordata,yes
A8HDK6,Snake three-finger toxin family,Chordata,yes
A8HDK4,Snake three-finger toxin family,Chordata,yes
F8J2F2,Snake three-finger toxin family,Chordata,yes
P34074,Snake three-finger toxin family,Chordata,no
Q2VBP5,Snake three-finger toxin family,Chordata,yes
Q2VBP4,Snake three-finger toxin family,Chordata,yes
B2BRQ6,Snake three-finger toxin family,Chordata,yes
C5ILC5,Snake three-finger toxin family,Chordata,yes
P0DKW9,Snake three-finger toxin family,Chordata,no
A8N285,Snake three-finger toxin family,Chordata,yes
A8S6B0,Snake three-finger toxin family,Chordata,yes
A6MFK5,Snake three-finger toxin family,Chordata,yes
P01397,Snake three-finger toxin family,Chordata,no
P01395,Snake three-finger toxin family,Chordata,no
A3FM53,Snake three-finger toxin family,Chordata,yes
P01381,Snake three-finger toxin family,Chordata,no
P01388,Snake three-finger toxin family,Chordata,no
P25669,Snake three-finger toxin family,Chordata,no
P01386,Snake three-finger toxin family,Chordata,no
A8HDK8,Snake three-finger toxin family,Chordata,yes
F8J2E6,Snake three-finger toxin family,Chordata,yes
Q53B55,Snake three-finger toxin family,Chordata,yes
Q53B59,Snake three-finger toxin family,Chordata,yes
Q2VBP3,Snake three-finger toxin family,Chordata,yes
P25667,Snake three-finger toxin family,Chordata,no
Q8UW28,Snake three-finger toxin family,Chordata,yes
P0DQQ1,Snake three-finger toxin family,Chordata,no
