identifier,Protein families,Phylum,has_fragment
P01387,Snake three-finger toxin family,Chordata,no
A8HDK7,Snake three-finger toxin family,Chordata,no
A8HDK9,Snake three-finger toxin family,Chordata,no
A8HDK6,Snake three-finger toxin family,Chordata,no
A8HDK4,Snake three-finger toxin family,Chordata,no
F8J2F2,Snake three-finger toxin family,Chordata,no
P34074,Snake three-finger toxin family,Chordata,no
Q2VBP5,Snake three-finger toxin family,Chordata,no
Q2VBP4,Snake three-finger toxin family,Chordata,no
B2BRQ6,Snake three-finger toxin family,Chordata,no
C5ILC5,Snake three-finger toxin family,Chordata,no
P0DKW9,Snake three-finger toxin family,Chordata,no
A8N285,Snake three-finger toxin family,Chordata,no
A8S6B0,Snake three-finger toxin family,Chordata,no
A1IVR9,Snake three-finger toxin family,Chordata,yes
A6MFK5,Snake three-finger toxin family,Chordata,no
P01397,Snake three-finger toxin family,Chordata,no
P01395,Snake three-finger toxin family,Chordata,no
A3FM53,Snake three-finger toxin family,Chordata,no
P01381,Snake three-finger toxin family,Chordata,no
P0CJ35,Snake three-finger toxin family,Chordata,yes
P85140,Snake three-finger toxin family,Chordata,no
A7X4Q3,Snake three-finger toxin family,Chordata,no
A7X4R0,Snake three-finger toxin family,Chordata,no
Q9W7J5,Snake three-finger toxin family,Chordata,no
Q2VBP8,Snake three-finger toxin family,Chordata,no
Q2VBP6,Snake three-finger toxin family,Chordata,no
P15816,Snake three-finger toxin family,Chordata,no
P15817,Snake three-finger toxin family,Chordata,no
O12961,Snake three-finger toxin family,Chordata,no
O12962,Snake three-finger toxin family,Chordata,no
Q9W729,Snake three-finger toxin family,Chordata,no
Q8AY56,Snake three-finger toxin family,Chordata,no
Q8AY55,Snake three-finger toxin family,Chordata,no
P01398,Snake three-finger toxin family,Chordata,no
P15815,Snake three-finger toxin family,Chordata,no
Q7T2I1,Snake three-finger toxin family,Chordata,yes
Q8UW27,Snake three-finger toxin family,Chordata,no
E2ITZ3,Snake three-finger toxin family,Chordata,no
P01412,Snake three-finger toxin family,Chordata,no
C0HJI9,Snake three-finger toxin family,Chordata,yes
Q69CJ8,Snake three-finger toxin family,Chordata,no
P01434,Snake three-finger toxin family,Chordata,no
P32879,Snake three-finger toxin family,Chordata,no
A8S6A4,Snake three-finger toxin family,Chordata,no
P10808,Snake three-finger toxin family,Chordata,no
A8HDJ7,Snake three-finger toxin family,Chordata,no
A6MFK6,Snake three-finger toxin family,Chordata,no
P01417,Snake three-finger toxin family,Chordata,no
P01416,Snake three-finger toxin family,Chordata,no
P01418,Snake three-finger toxin family,Chordata,no
P01425,Snake three-finger toxin family,Chordata,no
A8HDJ9,Snake three-finger toxin family,Chordata,no
P25494,Snake three-finger toxin family,Chordata,no
P68416,Snake three-finger toxin family,Chordata,no
P01437,Snake three-finger toxin family,Chordata,no
Q2VBN4,Snake three-finger toxin family,Chordata,no
Q2VBN7,Snake three-finger toxin family,Chordata,no
Q53B46,Snake three-finger toxin family,Chordata,no
