identifier,Protein families,Fragment,Phylum,Habitat,Class,Order
O16846,Other,,Cnidaria,marine,Anthozoa,Actiniaria
P39088,Other,fragment,Cnidaria,marine,Anthozoa,Actiniaria
P58689,Other,fragment,Cnidaria,marine,Anthozoa,Actiniaria
P58690,Other,fragment,Cnidaria,marine,Anthozoa,Actiniaria
P84001,Other,fragment,Arthropoda,terrestrial,Arachnida,Araneae
Q9U6X1,Other,,Cnidaria,marine,Anthozoa,Actiniaria
P0DMX2,Other,,Cnidaria,marine,Anthozoa,Actiniaria
P84027,Other,fragment,Arthropoda,terrestrial,Arachnida,Araneae
Q7M3V1,,,Arthropoda,terrestrial,Insecta,Hymenoptera
A0A3G2FQK2,Venom Kunitz-type family,fragment,Cnidaria,marine,Anthozoa,Actiniaria
F8J2B3,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q53B54,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P60615,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P60616,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01385,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P25670,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
B2BRQ5,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A8S6A8,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A1IVR8,Snake three-finger toxin family,fragment,Chordata,terrestrial,Lepidosauria,Squamata
A6MFK4,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01393,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01396,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01394,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q8UW29,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P01380,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P0C8R6,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P01379,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P01389,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P25674,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01391,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01383,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P25668,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01390,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01382,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01384,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01387,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A8HDK7,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A8HDK9,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A8HDK6,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A8HDK4,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
F8J2F2,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P34074,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q2VBP5,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q2VBP4,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
B2BRQ6,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
C5ILC5,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P0DKW9,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A8N285,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A8S6B0,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A1IVR9,Snake three-finger toxin family,fragment,Chordata,terrestrial,Lepidosauria,Squamata
A6MFK5,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01397,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01395,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A3FM53,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P01381,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P01388,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P25669,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01386,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A8HDK8,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
F8J2E6,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q53B55,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q53B53,Snake three-finger toxin family,fragment,Chordata,terrestrial,Lepidosauria,Squamata
Q53B59,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q2VBP3,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A1IVR7,Snake three-finger toxin family,fragment,Chordata,terrestrial,Lepidosauria,Squamata
P25667,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q8UW28,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P0DQQ1,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P25671,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P07526,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
F8J2D7,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
F8J2E5,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
C0HJD7,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P0DQQ2,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P25672,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P80156,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q53B58,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q53B57,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q53B56,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P25673,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P80965,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P82662,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
F8J2E1,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
F8J2E2,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
C0HM09,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
O42257,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P86522,Snake three-finger toxin family,fragment,Chordata,terrestrial,Lepidosauria,Squamata
Q7T3J2,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
D2N116,Snake three-finger toxin family,fragment,Chordata,terrestrial,Lepidosauria,Squamata
P0C8R7,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P0C8R8,Snake three-finger toxin family,,Chordata,marine,Lepidosauria,Squamata
P13495,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P34073,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P14612,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q7T2I3,Snake three-finger toxin family,fragment,Chordata,marine,Lepidosauria,Squamata
P0CJ35,Snake three-finger toxin family,fragment,Chordata,terrestrial,Lepidosauria,Squamata
P85140,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A7X4Q3,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
A7X4R0,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q9W7J5,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q2VBP8,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q2VBP6,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P15816,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P15817,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
O12961,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
O12962,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q9W729,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q8AY56,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
Q8AY55,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P01398,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
P15815,Snake three-finger toxin family,,Chordata,terrestrial,Lepidosauria,Squamata
