identifier,Protein families,Phylum,has_fragment,has_signal_peptide
O16846,Other,Cnidaria,no,yes
P39088,Other,Cnidaria,yes,no
P58689,Other,Cnidaria,yes,no
P58690,Other,Cnidaria,yes,no
P84001,Other,Arthropoda,yes,no
Q9U6X1,Other,Cnidaria,no,yes
P0DMX2,Other,Cnidaria,no,no
P84027,Other,Arthropoda,yes,no
Q7M3V1,,Arthropoda,no,yes
A0A3G2FQK2,Venom Kunitz-type family,Cnidaria,yes,yes
F8J2B3,Snake three-finger toxin family,Chordata,no,yes
Q53B54,Snake three-finger toxin family,Chordata,no,no
P60615,Snake three-finger toxin family,Chordata,no,yes
P60616,Snake three-finger toxin family,Chordata,no,yes
P01385,Snake three-finger toxin family,Chordata,no,no
P25670,Snake three-finger toxin family,Chordata,no,no
B2BRQ5,Snake three-finger toxin family,Chordata,no,yes
A8S6A8,Snake three-finger toxin family,Chordata,no,yes
A1IVR8,Snake three-finger toxin family,Chordata,yes,yes
A6MFK4,Snake three-finger toxin family,Chordata,no,yes
P01393,Snake three-finger toxin family,Chordata,no,no
P01396,Snake three-finger toxin family,Chordata,no,no
P01394,Snake three-finger toxin family,Chordata,no,no
Q8UW29,Snake three-finger toxin family,Chordata,no,yes
P01380,Snake three-finger toxin family,Chordata,no,no
P0C8R6,Snake three-finger toxin family,Chordata,no,no
P01379,Snake three-finger toxin family,Chordata,no,yes
P01389,Snake three-finger toxin family,Chordata,no,no
P25674,Snake three-finger toxin family,Chordata,no,no
P01391,Snake three-finger toxin family,Chordata,no,no
P01383,Snake three-finger toxin family,Chordata,no,no
P25668,Snake three-finger toxin family,Chordata,no,no
P01390,Snake three-finger toxin family,Chordata,no,no
P01382,Snake three-finger toxin family,Chordata,no,no
P01384,Snake three-finger toxin family,Chordata,no,yes
P01387,Snake three-finger toxin family,Chordata,no,no
A8HDK7,Snake three-finger toxin family,Chordata,no,yes
A8HDK9,Snake three-finger toxin family,Chordata,no,yes
A8HDK6,Snake three-finger toxin family,Chordata,no,yes
A8HDK4,Snake three-finger toxin family,Chordata,no,yes
F8J2F2,Snake three-finger toxin family,Chordata,no,yes
P34074,Snake three-finger toxin family,Chordata,no,no
Q2VBP5,Snake three-finger toxin family,Chordata,no,yes
Q2VBP4,Snake three-finger toxin family,Chordata,no,yes
B2BRQ6,Snake three-finger toxin family,Chordata,no,yes
C5ILC5,Snake three-finger toxin family,Chordata,no,yes
P0DKW9,Snake three-finger toxin family,Chordata,no,no
A8N285,Snake three-finger toxin family,Chordata,no,yes
A8S6B0,Snake three-finger toxin family,Chordata,no,yes
A1IVR9,Snake three-finger toxin family,Chordata,yes,yes
A6MFK5,Snake three-finger toxin family,Chordata,no,yes
P01397,Snake three-finger toxin family,Chordata,no,no
P01395,Snake three-finger toxin family,Chordata,no,no
A3FM53,Snake three-finger toxin family,Chordata,no,yes
P01381,Snake three-finger toxin family,Chordata,no,no
P01388,Snake three-finger toxin family,Chordata,no,no
P25669,Snake three-finger toxin family,Chordata,no,no
P01386,Snake three-finger toxin family,Chordata,no,no
A8HDK8,Snake three-finger toxin family,Chordata,no,yes
F8J2E6,Snake three-finger toxin family,Chordata,no,yes
Q53B55,Snake three-finger toxin family,Chordata,no,yes
Q53B53,Snake three-finger toxin family,Chordata,yes,yes
Q53B59,Snake three-finger toxin family,Chordata,no,yes
Q2VBP3,Snake three-finger toxin family,Chordata,no,yes
A1IVR7,Snake three-finger toxin family,Chordata,yes,yes
P25667,Snake three-finger toxin family,Chordata,no,no
Q8UW28,Snake three-finger toxin family,Chordata,no,yes
P0DQQ1,Snake three-finger toxin family,Chordata,no,no
P25671,Snake three-finger toxin family,Chordata,no,no
P07526,Snake three-finger toxin family,Chordata,no,no
F8J2D7,Snake three-finger toxin family,Chordata,no,yes
F8J2E5,Snake three-finger toxin family,Chordata,no,yes
C0HJD7,Snake three-finger toxin family,Chordata,no,no
P0DQQ2,Snake three-finger toxin family,Chordata,no,no
P25672,Snake three-finger toxin family,Chordata,no,no
P80156,Snake three-finger toxin family,Chordata,no,no
Q53B58,Snake three-finger toxin family,Chordata,no,yes
Q53B57,Snake three-finger toxin family,Chordata,no,yes
Q53B56,Snake three-finger toxin family,Chordata,no,yes
P25673,Snake three-finger toxin family,Chordata,no,no
P80965,Snake three-finger toxin family,Chordata,no,no
P82662,Snake three-finger toxin family,Chordata,no,yes
F8J2E1,Snake three-finger toxin family,Chordata,no,yes
F8J2E2,Snake three-finger toxin family,Chordata,no,yes
C0HM09,Snake three-finger toxin family,Chordata,no,no
O42257,Snake three-finger toxin family,Chordata,no,yes
P86522,Snake three-finger toxin family,Chordata,yes,no
Q7T3J2,Snake three-finger toxin family,Chordata,no,yes
D2N116,Snake three-finger toxin family,Chordata,yes,yes
P0C8R7,Snake three-finger toxin family,Chordata,no,no
P0C8R8,Snake three-finger toxin family,Chordata,no,no
P13495,Snake three-finger toxin family,Chordata,no,no
P34073,Snake three-finger toxin family,Chordata,no,no
P14612,Snake three-finger toxin family,Chordata,no,yes
Q7T2I3,Snake three-finger toxin family,Chordata,yes,yes
P0CJ35,Snake three-finger toxin family,Chordata,yes,no
P85140,Snake three-finger toxin family,Chordata,no,no
A7X4Q3,Snake three-finger toxin family,Chordata,no,yes
A7X4R0,Snake three-finger toxin family,Chordata,no,yes
Q9W7J5,Snake three-finger toxin family,Chordata,no,yes
Q2VBP8,Snake three-finger toxin family,Chordata,no,yes
Q2VBP6,Snake three-finger toxin family,Chordata,no,yes
P15816,Snake three-finger toxin family,Chordata,no,yes
P15817,Snake three-finger toxin family,Chordata,no,yes
O12961,Snake three-finger toxin family,Chordata,no,yes
O12962,Snake three-finger toxin family,Chordata,no,yes
Q9W729,Snake three-finger toxin family,Chordata,no,yes
Q8AY56,Snake three-finger toxin family,Chordata,no,yes
Q8AY55,Snake three-finger toxin family,Chordata,no,yes
P01398,Snake three-finger toxin family,Chordata,no,yes
P15815,Snake three-finger toxin family,Chordata,no,no
A0A346CIB2,Snake three-finger toxin family,Chordata,no,yes
A0A346CIB0,Snake three-finger toxin family,Chordata,no,yes
A7X3S0,Snake three-finger toxin family,Chordata,no,yes
A7X3S2,Snake three-finger toxin family,Chordata,no,yes
A7X3V0,Snake three-finger toxin family,Chordata,no,yes
P0C603,Snake three-finger toxin family,Chordata,yes,no
A0S864,Snake three-finger toxin family,Chordata,no,yes
A0A346CIA0,Snake three-finger toxin family,Chordata,no,yes
A0S865,Snake three-finger toxin family,Chordata,no,yes
P83490,Snake three-finger toxin family,Chordata,no,no
A0A346CIB3,Snake three-finger toxin family,Chordata,no,yes
Q06ZW0,Snake three-finger toxin family,Chordata,no,yes
C0HJD3,Snake three-finger toxin family,Chordata,no,no
Q8AY51,Snake three-finger toxin family,Chordata,no,yes
Q9YGI2,Snake three-finger toxin family,Chordata,no,yes
C0HJW9,Snake three-finger toxin family,Chordata,yes,no
Q8AY50,Snake three-finger toxin family,Chordata,no,yes
C6JUP2,Snake three-finger toxin family,Chordata,no,yes
Q9YGI4,Snake three-finger toxin family,Chordata,no,yes
Q8AY49,Snake three-finger toxin family,Chordata,no,yes
Q9YGI1,Snake three-finger toxin family,Chordata,no,yes
Q6IZ95,Snake three-finger toxin family,Chordata,no,yes
Q2VBN2,Snake three-finger toxin family,Chordata,no,yes
P29179,Snake three-finger toxin family,Chordata,no,no
O42255,Snake three-finger toxin family,Chordata,no,yes
C1IC49,Snake three-finger toxin family,Chordata,no,yes
P29180,Snake three-finger toxin family,Chordata,no,no
O42256,Snake three-finger toxin family,Chordata,no,yes
P29181,Snake three-finger toxin family,Chordata,no,no
A2CKF6,Snake three-finger toxin family,Chordata,no,yes
P29182,Snake three-finger toxin family,Chordata,no,no
Q802B3,Snake three-finger toxin family,Chordata,no,yes
P25679,Snake three-finger toxin family,Chordata,no,no
Q9W7I3,Snake three-finger toxin family,Chordata,no,yes
P25680,Snake three-finger toxin family,Chordata,no,no
Q802B2,Snake three-finger toxin family,Chordata,no,yes
P01401,Snake three-finger toxin family,Chordata,no,no
P01400,Snake three-finger toxin family,Chordata,no,no
P01399,Snake three-finger toxin family,Chordata,no,no
O93422,Snake three-finger toxin family,Chordata,no,yes
P60814,Snake three-finger toxin family,Chordata,no,yes
P0DSM9,Snake three-finger toxin family,Chordata,no,no
